Task,User,Terms Used,Query States,Observations,OISS,Code,OISS Domain,Verbalization
1,User_1,mass weight volume density,Initial State (IS),,Control,C2 ,Behavioral,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI7 ,Metacognitive ,0
,,what is density,Word Substitution (WS),changed to a question,Trial and error,TE1 ,Procedural ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,what is density of materials AND physics,Specialization (SC),,Control,C7 ,Behavioral,1
,,,,,"Selection of the
main ideas",SMI7 ,Metacognitive ,1
,,,,,Evaluation,E1 ,Metacognitive ,0
,,what is volume of materials AND physics,Word Substitution (WS),"changed one word, but this word changed the search's subject",Control,C7 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI7 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
2,User_1,what are the bones of the human body,Initial State (IS),,Control,C1 ,Behavioral,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
,,what are the muscles of the human body,Word Substitution (WS),changed the search's subject,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
,,moving joints of the human body,Word Substitution (WS),changed the search's subject,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,articulations of the human body,Word Substitution (WS),,"Selection of the
main ideas",SMI3 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,1
3,User_1,prosthesis,Initial State (IS),,Control,C2 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,relationships between prostheses and movable joints,Specialization (SC),from a single word to a question about relationship,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,prosthesis,Return State (RS),,"Selection of the
main ideas",SMI1 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,bone joints AND prostheses,Specialization (SC),,Control,C7 ,Behavioral,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,"Selection of the
main ideas",SMI7 ,Metacognitive ,0
,,,,,Evaluation,E2 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,arthroplasty,Related (RE),,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI1 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,0
1,User_2,weight,Initial State (IS),,Control,C1 ,Behavioral,0
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI6 ,Metacognitive ,0
,,,,,Control,C8,Behavioral,1
,,density,New (NW),,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Control,C8,Behavioral,1
,,,,,"Selection of the
main ideas",SMI8 ,Metacognitive ,1
,,,,,"Selection of the
main ideas",SMI7 ,Metacognitive ,0
,,,,,Evaluation,E3 ,Metacognitive ,0
,,,,,Control,C6,Behavioral,0
,,volume,New (NW),,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,mass,New (NW),,Control,C8,Behavioral,1
,,,,,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,physical mass,Specialization (SC),,Purposeful Thinking,PT1,Metacognitive ,1
,,,,,Control,C8,Behavioral,1
,,mass weight density volume,Word Substitution (WS),included more words,Trial and error,TE1 ,Procedural ,1
,,,,,"Selection of the
main ideas",SMI2 ,Metacognitive ,1
,,,,,Evaluation,E3 ,Metacognitive ,1
